0.0001, 1, 1,200,400,0.00, 0,35.0469,0.1317, 0.8974, 0.5160
0.0001, 1, 1,200,400,0.00, 1,34.6343,0.6424, 0.4315, 0.5365
0.0001, 1, 1,200,400,0.00, 2,34.3390,0.7463, 0.3146, 0.5296
0.0001, 1, 1,200,400,0.00, 3,34.2889,0.6060, 0.4357, 0.5205
0.0001, 1, 1,200,400,0.00, 4,34.1482,0.7479, 0.2991, 0.5227
0.0001, 1, 1,200,400,0.00, 5,34.0707,0.6322, 0.4203, 0.5259
0.0001, 1, 1,200,400,0.00, 6,34.0052,0.6756, 0.3799, 0.5272
0.0001, 1, 1,200,400,0.00, 7,34.0142,0.5407, 0.5159, 0.5283
0.0001, 1, 1,200,400,0.00, 8,33.8586,0.5236, 0.5553, 0.5395
0.0001, 1, 1,200,400,0.00, 9,33.6267,0.4829, 0.5420, 0.5125
0.0001, 1, 1,200,400,0.00,10,33.4044,0.5723, 0.4596, 0.5157
0.0001, 1, 1,200,400,0.00,11,33.4833,0.5016, 0.5616, 0.5317
0.0001, 1, 1,200,400,0.00,12,33.2526,0.6365, 0.3858, 0.5107
0.0001, 1, 1,200,400,0.00,13,32.9985,0.6499, 0.3895, 0.5192
0.0001, 1, 1,200,400,0.00,14,32.6793,0.5032, 0.5282, 0.5157
0.0001, 1, 1,200,400,0.00,15,32.7935,0.3929, 0.6291, 0.5115
0.0001, 1, 1,200,400,0.00,16,32.6363,0.6092, 0.4245, 0.5165
0.0001, 1, 1,200,400,0.00,17,32.2865,0.6312, 0.3900, 0.5101
0.0001, 1, 1,200,400,0.00,18,32.1098,0.6221, 0.4038, 0.5125
0.0001, 1, 1,200,400,0.00,19,31.5959,0.4133, 0.6004, 0.5072
