0.0001, 4, 1,128,128,0.00, 0,1.6504,1.0000, 0.0000, 0.5200
0.0001, 4, 1,128,128,0.00, 1,1.5599,1.0000, 0.0000, 0.5200
0.0001, 4, 1,128,128,0.00, 2,1.5599,1.0000, 0.0000, 0.5200
0.0001, 4, 1,128,128,0.00, 3,1.5599,1.0000, 0.0000, 0.5200
0.0001, 4, 1,128,128,0.00, 4,1.5599,1.0000, 0.0000, 0.5200
0.0001, 4, 1,128,128,0.00, 5,1.5599,1.0000, 0.0000, 0.5200
0.0001, 4, 1,128,128,0.00, 6,1.5599,1.0000, 0.0000, 0.5200
0.0001, 4, 1,128,128,0.00, 7,1.5599,1.0000, 0.0000, 0.5200
0.0001, 4, 1,128,128,0.00, 8,1.5599,1.0000, 0.0000, 0.5200
0.0001, 4, 1,128,128,0.00, 9,1.5599,1.0000, 0.0000, 0.5200
