0.0001, 1, 4,200,200,0.00, 0,38.4348,0.0000, 0.7528, 0.7528
0.0001, 1, 4,200,200,0.00, 1,34.9650,0.1896, 0.5724, 0.7620
0.0001, 1, 4,200,200,0.00, 2,34.8740,0.7372, 0.0116, 0.7488
0.0001, 1, 4,200,200,0.00, 3,34.7745,0.2336, 0.5148, 0.7484
0.0001, 1, 4,200,200,0.00, 4,34.6873,0.0136, 0.7436, 0.7572
0.0001, 1, 4,200,200,0.00, 5,34.5896,0.7012, 0.0568, 0.7580
0.0001, 1, 4,200,200,0.00, 6,34.2120,0.2364, 0.5592, 0.7956
0.0001, 1, 4,200,200,0.00, 7,33.8905,0.0828, 0.6884, 0.7712
0.0001, 1, 4,200,200,0.00, 8,33.3692,0.3852, 0.4168, 0.8020
0.0001, 1, 4,200,200,0.00, 9,32.9468,0.2396, 0.5392, 0.7788
0.0001, 1, 4,200,200,0.00,10,32.6734,0.1452, 0.6292, 0.7744
0.0001, 1, 4,200,200,0.00,11,32.3748,0.3904, 0.3868, 0.7772
0.0001, 1, 4,200,200,0.00,12,31.9228,0.3256, 0.4416, 0.7672
0.0001, 1, 4,200,200,0.00,13,31.2470,0.2288, 0.5324, 0.7612
0.0001, 1, 4,200,200,0.00,14,30.8030,0.2524, 0.5108, 0.7632
0.0001, 1, 4,200,200,0.00,15,30.4901,0.3440, 0.4192, 0.7632
0.0001, 1, 4,200,200,0.00,16,30.1036,0.4916, 0.2736, 0.7652
0.0001, 1, 4,200,200,0.00,17,29.5916,0.2820, 0.4728, 0.7548
0.0001, 1, 4,200,200,0.00,18,28.8166,0.3556, 0.3848, 0.7404
0.0001, 1, 4,200,200,0.00,19,27.8526,0.3284, 0.4084, 0.7368
